name,rating,cost,cuisine,rating_count_num,city
Shaifan Tiffin Centre,3.89446135316808,110.0,"Street Food,Indian",0.0,Adilabad
Food On Wheels,3.89446135316808,100.0,South Indian,0.0,Adilabad
Sri Sai Mom's Kitchen Restaurant,3.3,400.0,Biryani,20.0,Adilabad
China Kitchen Restaurant,3.89446135316808,250.0,Chinese,0.0,Adilabad
Renuka Hotel,3.1,250.0,South Indian,20.0,Adilabad
Tanishq Family Restaurant,3.7,250.0,"Chinese,Indian",50.0,Adilabad
KMC Hotel,3.6,100.0,Biryani,20.0,Adilabad
RAMA JUICE AND SHAKES PARLOUR (LASSI N SHAKES ),3.89446135316808,150.0,"Indian,Beverages",0.0,Adilabad
Kwality Walls Frozen Dessert and Ice Cream Shop,4.8,300.0,Desserts,20.0,Adityapur
La Pino'z Pizza,4.1,200.0,"Pizzas,Fast Food",500.0,Adityapur
Chaw Box,3.3,300.0,"Chinese,North Indian",100.0,Adityapur
Cafe Coffee Day,3.7,300.0,"Beverages,Snacks",50.0,Adityapur
Aditya Inn Restaurant,3.6,150.0,"Biryani,Chinese",100.0,Adityapur
Taste Ville,3.89446135316808,100.0,"North Indian,Indian",0.0,Adityapur
Indian Bakery,3.3,200.0,Bakery,100.0,Adityapur
Mannat Bakers,3.89446135316808,300.0,Bakery,0.0,Adityapur
China Town,3.89446135316808,200.0,Chinese,0.0,Adityapur
The Onyx (Pure veg),3.8,300.0,"Indian,Chinese",100.0,Adityapur
KI & KA KITCHEN,3.89446135316808,200.0,"Chinese,North Indian",0.0,Adityapur
Magic Momo,3.89446135316808,200.0,"Chinese,Tandoor",0.0,Adityapur
Yes Yo Momo,3.89446135316808,150.0,Chinese,0.0,Adityapur
NEW GANGOUR SWEETS (Adityapur),4.0,200.0,South Indian,50.0,Adityapur
National Bakery,4.4,399.0,"Bakery,Snacks",50.0,Adityapur
BAKERY POINT.,3.89446135316808,200.0,"Bakery,Snacks",0.0,Adityapur
KFC,4.0,400.0,"American,Snacks",500.0,Adityapur
LUV BITES BAKERY,3.89446135316808,250.0,Bakery,0.0,Adityapur
Buddha Delight - Gamharia,3.5,200.0,"Chinese,Indian",100.0,Adityapur
Dosa Planet,3.9,249.0,"South Indian,Indian",500.0,Adityapur
SAMBHU DOSA,3.89446135316808,150.0,"South Indian,Chinese",0.0,Adityapur
Red Oven,3.89446135316808,250.0,Bakery,0.0,Adityapur
Pizza Hut,3.3,350.0,Pizzas,100.0,Adityapur
CHAMPARAN TASTE MUTTON CHICKEN,3.89446135316808,100.0,North Indian,0.0,Adityapur
Junction,3.9,399.0,"Indian,Chinese",500.0,Adityapur
Kolkata Royal Biryani,3.7,150.0,"Biryani,Street Food",500.0,Adityapur
Yummerica Fries,3.8,400.0,"American,Beverages",50.0,Adityapur
Tandoori Hut,4.4,400.0,"North Indian,Tandoor",20.0,Adityapur
Karim's,2.7,500.0,"Snacks,Kebabs",20.0,Adityapur
Tanndoori Hut,3.89446135316808,200.0,"Chinese,Indian",0.0,Adityapur
New Gangour Sweets (Bistupur),4.3,99.0,Sweets,100.0,Adityapur
Momo Nation Cafe,3.8,200.0,"Nepalese,Chinese",50.0,Adityapur
NIC Natural Ice Creams,4.4,120.0,"Ice Cream,Desserts",500.0,Adityapur
Haldiram's Prabhuji,4.0,300.0,"North Indian,South Indian",100.0,Adityapur
BANARASI PAAN CAFE,3.89446135316808,100.0,Paan,0.0,Adityapur
Chowringhee Square,3.5,250.0,"Biryani,North Indian",20.0,Adityapur
Kanya Restaurant,4.1,200.0,"North Indian,Chinese",500.0,Adityapur
Domino's Pizza,4.1,400.0,Pizzas,50.0,Adityapur
Motel Madhuban,4.1,499.0,"Indian,Chinese",100.0,Adityapur
Baker Street,4.1,150.0,Bakery,100.0,Adityapur
Dasaprakash,4.3,400.0,"South Indian,North Indian",100.0,Adityapur
Kailash Parbath,3.89446135316808,400.0,"Chaat,Biryani",0.0,Adityapur
Biryani House,2.9,499.0,"Biryani,Indian",20.0,Adityapur
Little Metro,3.9,200.0,"North Indian,Chinese",100.0,Adityapur
The Madrasi Hotel,4.3,299.0,South Indian,100.0,Adityapur
Grameen Kulfi,4.5,120.0,"Ice Cream,Desserts",100.0,Adityapur
Asian Inn,4.0,399.0,"Indian,Tandoor",1000.0,Adityapur
Biggies Burger,3.8,300.0,"American,Fast Food",100.0,Adityapur
Kaveri (Adityapur),3.5,200.0,Indian,100.0,Adityapur
Scoops Of Joy,3.89446135316808,200.0,"Ice Cream,Desserts",0.0,Adityapur
Subway,3.3,350.0,"Healthy Food,Salads",100.0,Adityapur
Deep Chinese Fast Food,3.89446135316808,200.0,Chinese,0.0,Adityapur
What's up Food,3.6,200.0,Chinese,20.0,Adityapur
AUROUS RESTRO LOUNGE,4.0,500.0,"Continental,American",100.0,Adityapur
The Novelty,2.7,249.0,"South Indian,Chinese",20.0,Adityapur
Anand,4.3,299.0,"South Indian,Indian",500.0,Adityapur
Kolkata Biryani - Jugsalai,3.8,150.0,Biryani,50.0,Adityapur
Mahi Momos,3.89446135316808,200.0,Chinese,0.0,Adityapur
The Bawarchi,2.5,150.0,"North Indian,Chinese",20.0,Adityapur
BEYOND TEMPTATION,3.3,199.0,"Pizzas,Pastas",20.0,Adityapur
Milanee s Kitchen,4.2,399.0,"Bengali,Indian",100.0,Adityapur
Al Karim Fast Food,4.2,200.0,"Street Food,Chinese",100.0,Adityapur
Raj Sweets and Snackes (Sindhi),3.7,200.0,"Indian,South Indian",20.0,Adityapur
The Moti Mahal,3.2,399.0,"Indian,Chinese",100.0,Adityapur
Manohar Maharaj & Sons,4.3,100.0,"South Indian,Chaat",50.0,Adityapur
Chinese Inn,4.2,399.0,"Chinese,Indian",50.0,Adityapur
DELLISH,3.6,300.0,"Chinese,Continental",20.0,Adityapur
Ramesh Kulfi,3.3,200.0,"Chinese,North Indian",20.0,Adityapur
New Gangour Sweets,4.1,200.0,"Sweets,Snacks",50.0,Adityapur
Fakira Chanachur,4.3,199.0,Snacks,20.0,Adityapur
Yash Siddhant Takeaway,3.89446135316808,100.0,"South Indian,Chinese",0.0,Adityapur
Sehat World,3.8,50.0,"Beverages,Italian",20.0,Adityapur
Brubeck Bakery,4.1,200.0,"Bakery,Desserts",100.0,Adityapur
Annapurna,4.2,200.0,"Chinese,Tandoor",20.0,Adityapur
The Chocolate Room,3.7,400.0,"Bakery,Beverages",20.0,Adityapur
